isolabel_ext,synonym
UY-CA-LosCerrillos,uy;ca;los.cerrillos
UY-CA-LosCerrillos,co-c-cer
UY-CA-LosTilos,co-c-lto
UY-CA-LosTilos,uy-658
UY-CA-LosTilos,uy;ca;lto
UY-CA-LosTilos,uy;ca;los.tilos
UY-CA-LosTilos,uy;canelones;los.tilos
UY-CA-LosTitanes,uy;canelones;los.titanes
UY-CA-LosTitanes,uy;ca;lti
UY-CA-LosTitanes,uy;ca;los.titanes
UY-CA-LosTitanes,co-c-lti
UY-CA-LosTitanes,uy-103
UY-CA-Marindia,uy;ca;mar
UY-CA-Marindia,co-c-mar
UY-CA-Marindia,uy-72
UY-CA-Marindia,uy;ca;marindia
UY-CA-Marindia,uy;canelones;marindia
UY-CA-Migues,uy-115
UY-CA-Migues,uy;ca;mig
UY-CA-Migues,co-c-mig
UY-CA-Migues,uy;ca;migues
UY-CA-Migues,uy;canelones;migues
UY-CA-MiradorLaTahona,uy;ca;mta
UY-CA-MiradorLaTahona,uy;ca;mirador.la.tahona
UY-CA-MiradorLaTahona,uy-47
UY-CA-MiradorLaTahona,uy;canelones;mirador.la.tahona
UY-CA-Montes,uy-117
UY-CA-Montes,co-c-mon
UY-CA-Montes,uy;ca;montes
UY-CA-Montes,uy;ca;mon
UY-CA-Montes,uy;canelones;montes
UY-CA-Neptunia,uy;canelones;neptunia
UY-CA-Neptunia,uy-73
UY-CA-Neptunia,uy;ca;nep
UY-CA-Neptunia,uy;ca;neptunia
UY-CA-Neptunia,co-c-nep
UY-CA-Olmos,uy;ca;olmos
UY-CA-Olmos,co-c-olm
UY-CA-Olmos,uy;ca;olm
UY-CA-Olmos,uy;canelones;olmos
UY-CA-Olmos,uy-91
UY-CA-Pando,uy-27
UY-CA-Pando,uy;ca;pando
UY-CA-Pando,uy;ca;pdo
UY-CA-Pando,uy;canelones;pando
UY-CA-Pando,co-c-pdo
UY-CA-ParadaCabrera,uy-131
UY-CA-ParadaCabrera,uy;ca;pca
UY-CA-ParadaCabrera,co-c-pca
UY-CA-ParadaCabrera,uy;ca;parada.cabrera
UY-CA-ParadaCabrera,uy;canelones;parada.cabrera
UY-CA-ParqueCarrasco,uy;ca;parque.carrasco
UY-CA-ParqueCarrasco,uy;canelones;parque.carrasco
UY-CA-ParqueCarrasco,co-c-pcu
UY-CA-ParqueCarrasco,uy;ca;pcu
UY-CA-ParqueCarrasco,uy-50
UY-CA-ParquePlata,uy-40
UY-CA-ParquePlata,co-c-pdp
UY-CA-ParquePlata,uy;canelones;parque.plata
UY-CA-ParquePlata,uy;ca;parque.plata
UY-CA-ParquePlata,uy;ca;pdp
UY-CA-PasoCarrasco,uy-35
UY-CA-PasoCarrasco,uy;ca;pcc
UY-CA-PasoCarrasco,co-c-pcc
UY-CA-PasoCarrasco,uy;ca;paso.carrasco
UY-CA-PasoCarrasco,uy;canelones;paso.carrasco
UY-CA-PasoEspinosa,uy-134
UY-CA-PasoEspinosa,uy;ca;pea
UY-CA-PasoEspinosa,co-c-pea
UY-CA-PasoEspinosa,uy;ca;paso.espinosa
UY-CA-PasoEspinosa,uy;canelones;paso.espinosa
UY-CA-PasoLaCadena,uy;canelones;paso.la.cadena
UY-CA-PasoLaCadena,uy;ca;pcn
UY-CA-PasoLaCadena,uy;ca;paso.la.cadena
UY-CA-PasoLaCadena,uy-139
UY-CA-PasoLaCadena,co-c-pcn
UY-CA-PasoPache,uy-606
UY-CA-PasoPache,uy;ca;pdh
UY-CA-PasoPache,uy;ca;paso.pache
UY-CA-PasoPache,co-c-pdh
UY-CA-PasoPache,uy;canelones;paso.pache
UY-CA-PasoPalomeque,uy-141
UY-CA-PasoPalomeque,co-c-ppe
UY-CA-PasoPalomeque,uy;ca;paso.palomeque
UY-CA-PasoPalomeque,uy;canelones;paso.palomeque
UY-CA-PasoPalomeque,uy;ca;ppe
UY-CA-PiedraToro,uy;ca;pit
