selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,UY-CA-ColinasCarrasco,UY-65,2023-11-30,f
t,3,UY-CA-ColinasCarrasco,UY-CA-CDC,2022-10-07,f
t,5,UY-CA-ColinasCarrasco,uy;ca;cdc,2023-11-30,f
t,5,UY-CA-ColinasCarrasco,uy;ca;colinas.carrasco,2023-11-30,f
t,5,UY-CA-ColinasCarrasco,uy;canelones;colinas.carrasco,2023-11-30,f
t,5,UY-CA-ColinasSolymar,UY-86,2023-11-30,f
t,3,UY-CA-ColinasSolymar,UY-CA-CDS,2022-10-07,f
t,5,UY-CA-ColinasSolymar,uy;ca;cds,2023-11-30,f
t,5,UY-CA-ColinasSolymar,uy;ca;colinas.solymar,2023-11-30,f
t,5,UY-CA-ColinasSolymar,uy;canelones;colinas.solymar,2023-11-30,f
t,5,UY-CA-ColoniaNicolich,UY-96,2023-11-30,f
t,3,UY-CA-ColoniaNicolich,UY-CA-CNH,2022-10-07,f
t,5,UY-CA-ColoniaNicolich,uy;ca;cnh,2023-11-30,f
t,5,UY-CA-ColoniaNicolich,uy;ca;colonia.nicolich,2023-11-30,f
t,5,UY-CA-ColoniaNicolich,uy;canelones;colonia.nicolich,2023-11-30,f
t,5,UY-CA-CostaAzul,UY-93,2023-11-30,f
t,3,UY-CA-CostaAzul,UY-CA-CAL,2022-10-07,f
t,5,UY-CA-CostaAzul,uy;ca;cal,2023-11-30,f
t,5,UY-CA-CostaAzul,uy;ca;costa.azul,2023-11-30,f
t,5,UY-CA-CostaAzul,uy;canelones;costa.azul,2023-11-30,f
t,5,UY-CA-CostaPedernal,UY-149,2023-11-30,f
t,3,UY-CA-CostaPedernal,UY-CA-CDZ,2022-10-07,f
t,5,UY-CA-CostaPedernal,uy;ca;cdz,2023-11-30,f
t,5,UY-CA-CostaPedernal,uy;ca;costa.pedernal,2023-11-30,f
t,5,UY-CA-CostaPedernal,uy;canelones;costa.pedernal,2023-11-30,f
t,5,UY-CA-CostaYGuillamon,UY-130,2023-11-30,f
t,3,UY-CA-CostaYGuillamon,UY-CA-CGN,2022-10-07,f
t,5,UY-CA-CostaYGuillamon,uy;ca;cgn,2023-11-30,f
t,5,UY-CA-CostaYGuillamon,uy;ca;costa.y.guillamon,2023-11-30,f
